# Round 1's run, kept as what it is: each row re-ran the survey's FIRST node, which need not
# measure that defect (verifier B2). EVD-0105..0226 come from here and are NOT the batch's
# evidence -- the newer records written by rerun.log supersede them per kind.
BUG-0001 | tools/test_kernel.py::test_a_cross_root_origin_is_refused_at_creation | pass | EVD-0105 | 4.6s | 1 passed in 1.26s
BUG-0002 | tools/test_board.py::test_a_hostile_field_cannot_add_an_element_or_an_attribute_to_the_page | pass | EVD-0106 | 5.4s | 1 passed in 1.55s
BUG-0003 | tools/test_hooks.py::test_gate_filing_sees_a_noclobber_and_continued_redirect_into_the_archive | pass | EVD-0107 | 8.5s | 1 passed in 4.94s
BUG-0004 | tools/test_report.py::test_a_premise_recheck_naming_a_phantom_is_flagged | pass | EVD-0108 | 5.4s | 1 passed in 1.98s
BUG-0005 | tools/test_report.py::test_session_brief_carries_the_newest_standing_decision | pass | EVD-0109 | 4.7s | 1 passed in 1.30s
BUG-0006 | tools/test_hooks_v2.py::test_the_route_derivation_follows_helper_hops_with_cycle_protection | pass | EVD-0110 | 4.6s | 1 passed in 1.00s
BUG-0007 | tools/test_ci_lint_pinned.py::test_root_ruff_select_is_explicit_not_inherited | pass | EVD-0111 | 4.0s | 1 passed in 0.51s
BUG-0009 | tools/test_report.py::test_a_converted_fr_must_name_its_result | pass | EVD-0112 | 5.2s | 1 passed in 1.31s
BUG-0011 | tools/test_handover_marker.py::test_line1_mention_of_marker_does_not_trigger_kit_detection | pass | EVD-0113 | 6.8s | 5 passed in 3.17s
BUG-0012 | .claude/hooks/test_gates.py::test_gate1_reads_a_function_definition_as_the_command_inside_it | pass | EVD-0114 | 21.4s | 1 passed in 18.04s
BUG-0013 | tools/test_hooks_v2.py::test_the_launcher_is_staged_with_everything_it_imports | pass | EVD-0115 | 4.4s | 1 passed in 0.98s
BUG-0014 | .claude/hooks/test_gates.py::test_the_measurement_sandbox_leaves_a_child_shell_no_directory_word_that_names_another_tree | pass | EVD-0116 | 55.0s | 1 passed in 51.53s
BUG-0015 | tools/test_report.py::test_a_scalar_dependency_is_reported_once_not_once_per_letter | pass | EVD-0117 | 5.2s | 1 passed in 1.40s
BUG-0018 | tools/test_e2e.py::test_e2e_capture_stores_umlaut_body_as_utf8_bytes_whatever_the_stdin_codepage | pass | EVD-0118 | 5.1s | 1 passed in 1.30s
BUG-0020 | tools/test_repo_hygiene.py::test_every_decision_pointer_in_a_shipped_kit_file_resolves | pass | EVD-0119 | 5.6s | 1 passed in 1.70s
BUG-0021 | tools/test_e2e.py::test_e2e_capture_accepts_a_bom_prefixed_body_and_stores_it_without_bom | pass | EVD-0120 | 4.5s | 1 passed in 1.18s
BUG-0028 | tools/test_migrate.py::test_every_verdict_the_run_up_can_produce_is_named_where_it_is_documented | pass | EVD-0121 | 5.6s | 1 passed in 2.13s
BUG-0029 | tools/test_migrate.py::test_doctor_says_why_it_cannot_name_the_kit_of_a_project_with_only_a_version | pass | EVD-0122 | 5.2s | 1 passed in 1.76s
BUG-0034 | .claude/hooks/test_gates.py::test_every_subcommand_the_gate_calls_an_author_authors_one | pass | EVD-0123 | 24.8s | 15 passed in 21.57s
BUG-0035 | .claude/hooks/test_gates.py::test_no_statement_here_cites_a_replaced_contract_on_its_own | pass | EVD-0124 | 11.5s | 1 passed in 8.72s
BUG-0036 | tools/test_report.py::test_a_fresh_install_is_told_to_restart_and_is_not_handed_the_slash_command | pass | EVD-0125 | 3.8s | 1 passed in 1.31s
BUG-0038 | tools/test_report.py::test_validate_names_a_scalar_reference_list_field | pass | EVD-0126 | 5.6s | 1 passed in 2.97s
BUG-0039 | tools/test_report.py::test_the_entry_point_warns_before_the_question_is_put_to_the_user | pass | EVD-0127 | 3.7s | 1 passed in 1.06s
BUG-0040 | tools/test_approvals_dispatch.py::test_a_cr_derived_task_may_reference_the_crs_own_criteria | pass | EVD-0128 | 4.6s | 1 passed in 2.16s
BUG-0041 | tools/test_kernel.py::test_a_generic_document_writer_is_named_only_for_the_documents_it_would_write | pass | EVD-0129 | 3.4s | 1 passed in 0.88s
BUG-0042 | tools/test_hooks.py::test_the_session_start_sweeps_a_dispatch_no_child_of_this_session_can_be_behind | pass | EVD-0130 | 7.2s | 1 passed in 4.97s
BUG-0043 | tools/test_hooks.py::test_both_entry_gates_anchor_the_shared_sign_off_and_name_no_item_this_repo_lacks | pass | EVD-0131 | 4.9s | 1 passed in 2.66s
BUG-0044 | tools/test_hooks.py::test_the_field_a_kernel_command_owns_is_named_with_that_command_in_both_entry_gates | pass | EVD-0132 | 4.9s | 1 passed in 2.67s
BUG-0045 | tools/test_hooks.py::test_the_block_that_hand_stamps_the_kernels_fields_names_the_kernels_own_clock | pass | EVD-0133 | 5.2s | 1 passed in 2.75s
BUG-0047 | tools/test_role_contracts.py::test_the_memory_duty_is_only_prescribed_where_the_role_has_memory | pass | EVD-0134 | 2.7s | 1 passed in 0.54s
