BUG-0001 | tools/test_approvals_dispatch.py::test_a_batch_longer_than_the_limit_is_refused_at_the_builder tools/test_approvals_dispatch.py::test_flags_stay_writable_on_a_dispatched_task tools/test_approvals_dispatch.py::test_only_a_manifest_of_signed_item_records_reads_as_a_list tools/test_board.py::test_a_self_referential_item_body_does_not_stop_the_state_write tools/test_board.py::test_a_status_off_its_types_vocabulary_still_appears_and_warns tools/test_board.py::test_a_surrogate_in_an_item_does_not_stop_the_state_write tools/test_board.py::test_an_alias_bomb_cannot_stretch_a_state_write tools/test_e2e.py::test_e2e_update_changes_a_field_and_invalidates_a_current_approval tools/test_hooks.py::test_a_document_finding_and_a_validator_finding_get_different_remedies tools/test_hooks.py::test_dashboard_survives_a_hand_written_item tools/test_hooks.py::test_quality_red_on_duplicate_key_in_typed_item tools/test_hooks.py::test_retro_reports_the_item_status_mix_from_the_index tools/test_kernel.py::test_a_cross_root_origin_is_refused_at_creation tools/test_kernel.py::test_a_task_under_its_own_root_is_still_creatable tools/test_staging_cli.py::test_a_bug_cannot_be_verified_without_the_regression_evidence | pass | EVD-0227 | 29.6s | 1 passed in 0.83s
BUG-0002 | tools/test_board.py::test_a_hostile_field_cannot_add_an_element_or_an_attribute_to_the_page tools/test_hooks.py::test_dashboard_survives_a_hand_written_item tools/test_hooks.py::test_fs_tripwire_reads_a_source_deleting_copier_as_a_move_out_of_the_archive | pass | EVD-0228 | 8.2s | 1 passed in 1.99s
BUG-0003 | tools/test_hooks.py::test_a_redirect_is_part_of_the_line_the_door_reads tools/test_hooks.py::test_fs_tripwire_blocks_a_disguised_ledger_redirect tools/test_hooks.py::test_gate_filing_sees_a_noclobber_and_continued_redirect_into_the_archive | pass | EVD-0229 | 14.9s | 1 passed in 1.82s
BUG-0004 | tools/test_report.py::test_a_premise_recheck_naming_a_phantom_is_flagged | pass | EVD-0230 | 1.9s | 1 passed in 0.81s
BUG-0005 | tools/test_report.py::test_session_brief_carries_the_newest_standing_decision tools/test_schemas.py::test_brief_decision_item_required_keys | pass | EVD-0231 | 2.9s | 1 passed in 0.20s
BUG-0006 | tools/test_hooks_v2.py::test_the_route_derivation_follows_helper_hops_with_cycle_protection | pass | EVD-0232 | 1.5s | 1 passed in 0.35s
BUG-0007 | tools/test_ci_lint_pinned.py::test_ci_pins_exactly_one_ruff_version tools/test_ci_lint_pinned.py::test_root_ruff_select_is_explicit_not_inherited | pass | EVD-0233 | 2.7s | 1 passed in 0.19s
BUG-0009 | tools/test_approvals_dispatch.py::test_only_a_kind_with_its_own_option_form_reads_differently_in_the_two_places tools/test_backlog_types.py::test_the_fr_result_terminals_partition_the_fr_automaton tools/test_report.py::test_a_converted_fr_must_name_its_result tools/test_report.py::test_a_superseding_decision_marks_the_older_one | pass | EVD-0234 | 6.2s | 1 passed in 0.46s
BUG-0011 | tools/test_handover_marker.py::test_line1_mention_of_marker_does_not_trigger_kit_detection | pass | EVD-0235 | 2.3s | 5 passed in 1.15s
BUG-0012 | .claude/hooks/test_gates.py::test_gate1_cuts_a_declaration_head_because_it_is_one .claude/hooks/test_gates.py::test_gate1_reads_a_function_definition_as_the_command_inside_it .claude/hooks/test_gates.py::test_gate3_reads_a_declaration_head_with_the_same_cut_as_gate1 | pass | EVD-0236 | 35.1s | 1 passed in 15.84s
BUG-0013 | tools/test_hooks.py::test_the_kernel_bridge_is_staged_with_everything_it_imports tools/test_hooks_v2.py::test_a_planted_stdlib_module_cannot_disable_a_launched_gate tools/test_hooks_v2.py::test_a_planted_stdlib_module_cannot_disable_the_kit_gate tools/test_hooks_v2.py::test_every_refusal_capable_registered_hook_runs_through_the_launcher tools/test_hooks_v2.py::test_no_kit_module_is_named_after_a_standard_library_module tools/test_hooks_v2.py::test_the_launcher_is_staged_with_everything_it_imports | pass | EVD-0237 | 11.0s | 1 passed in 0.38s
